Table B.103 Balance Sheet of Nonfinancial Corporate Business from Z.1 Federal Accounts of the United States,,,,,,,,,,,,,,
,,Date conversions,,,Line 40/(Line 44/100) - net worth (Millions of dollars),Line 42 - corporate equities (Millions of dollars),,,MS index (Q) scaled by running geometric mean,,Expected Q,,,Federal funds rate
date,,Month,Day,Date,FL102090005.Q,LM103164103.Q,MS Index (Q),ln(Q),exp[ln(Q) - Avg(ln(Q))],MSI/GEOMEAN,,,Date,
,Q3,9,30,9/30/08,41675.6224697662,33730.9255696603,0.80936824864777,-0.211501275568073,1.17784231759229,1.17784231759229,1,,1957-05-01,3.00
,Q4,12,31,12/31/08,41637.9609878103,37281.5493138351,0.895374039203059,-0.110513727114624,1.3030032191266,1.3030032191266,1,,1957-06-01,3.00
1909,Q1,3,31,3/31/09,41903.5973277935,36039.1697747058,0.860049544023325,-0.15076528206449,1.2515968471324,1.25159684713241,1,,1957-07-01,2.99
,Q2,6,30,6/30/09,42169.2336677767,39594.6035641387,0.938945295427425,-0.0629980598017074,1.36641078360353,1.36641078360353,1,,1957-08-01,3.24
,Q3,9,30,9/30/09,42434.8700077598,41170.3071753646,0.9701999126623,-0.03025313319133,1.41189441958862,1.41189441958862,1,,1957-09-01,3.47
,Q4,12,31,12/31/09,42700.506347743,41614.7363990437,0.974572433875677,-0.025756433524689,1.41825758064453,1.41825758064453,1,,1957-10-01,3.50
1910,Q1,3,31,3/31/10,43246.9033653581,42267.8674660082,0.977361710939652,-0.0228984693152489,1.42231670770681,1.42231670770681,1,,1957-11-01,3.28
,Q2,6,30,6/30/10,43793.3003829733,38618.2323233609,0.881829685948391,-0.125756341453275,1.28329264553489,1.28329264553489,1,,1957-12-01,2.98
,Q3,9,30,9/30/10,44339.6974005884,37811.9175825435,0.852777979987787,-0.159256046743758,1.24101482115048,1.24101482115048,1,,1958-01-01,2.72
,Q4,12,31,12/31/10,44886.0944182035,38406.0442336721,0.855633459125296,-0.155913196501462,1.24517028953064,1.24517028953064,1,,1958-02-01,1.67
1911,Q1,3,31,3/31/11,44999.5052497354,39495.6221634988,0.877690142242865,-0.13046166079855,1.27726852763795,1.27726852763795,1,,1958-03-01,1.20
,Q2,6,30,6/30/11,45112.9160812674,40978.82685848,0.908361294682433,-0.0961130778900699,1.32190306986641,1.32190306986641,1,,1958-04-01,1.26
,Q3,9,30,9/30/11,45226.3269127993,36741.0991585338,0.812383000489387,-0.207783374544831,1.18222956938037,1.18222956938037,1,,1958-05-01,0.63
,Q4,12,31,12/31/11,45339.7377443312,38605.6993465101,0.851476017885369,-0.160783943826382,1.2391201260439,1.2391201260439,1,,1958-06-01,0.93
1912,Q1,3,31,3/31/12,45784.8119944333,40592.1418088155,0.886585311604006,-0.120377923914211,1.29021332367264,1.29021332367264,1,,1958-07-01,0.68
,Q2,6,30,6/30/12,46229.8862445355,41814.2708095111,0.904485695429408,-0.100388789164704,1.31626306012565,1.31626306012565,1,,1958-08-01,1.53
,Q3,9,30,9/30/12,46674.9604946376,43036.3998102066,0.922044697073733,-0.0811615782125855,1.34181599629026,1.34181599629026,1,,1958-09-01,1.76
,Q4,12,31,12/31/12,47120.0347447398,40941.3215233,0.868872906081005,-0.140558417484109,1.26443714477484,1.26443714477484,1,,1958-10-01,1.80
1913,Q1,3,31,3/31/13,47940.6430546749,42542.256295092,0.887394360700873,-0.119465794913422,1.29139070154099,1.29139070154099,1,,1958-11-01,2.27
,Q2,6,30,6/30/13,48761.2513646101,39254.9001268348,0.805042918880568,-0.2168596876052,1.17154783242332,1.17154783242332,1,,1958-12-01,2.42
,Q3,9,30,9/30/13,49581.8596745452,41236.9825224016,0.831694954426492,-0.184289546704601,1.21033350923781,1.21033350923781,1,,1959-01-01,2.48
,Q4,12,31,12/31/13,50402.4679844804,38868.152342334,0.771155736943319,-0.259864932375337,1.12223312681641,1.12223312681641,1,,1959-02-01,2.43
1914,Q1,3,31,3/31/14,50608.8983134045,37891.1476063302,0.748705244909356,-0.289409904414945,1.0895617938199,1.08956179381991,1,,1959-03-01,2.80
,Q2,6,30,6/30/14,50815.3286423287,37025.8449566664,0.728635353660277,-0.316581872855963,1.06035485709841,1.06035485709841,1,,1959-04-01,2.96
,Q3,9,30,9/30/14,51021.7589712528,34976.4439443048,0.685520151588886,-0.377577383491519,0.997610970596723,0.997610970596723,1,,1959-05-01,2.90
,Q4,12,31,12/31/14,51228.189300177,33473.5498685729,0.653420515654596,-0.425534381999856,0.950897611571483,0.950897611571483,1,,1959-06-01,3.39
1915,Q1,3,31,3/31/15,52853.9100968007,36758.1767617547,0.695467500785334,-0.363170996553217,1.01208696326263,1.01208696326263,1,,1959-07-01,3.47
,Q2,6,30,6/30/15,54479.6308934245,39040.388528997,0.716605231877756,-0.333230173164232,1.04284788601953,1.04284788601953,1,,1959-08-01,3.50
,Q3,9,30,9/30/15,56105.3516900482,42050.96575387,0.749500083096866,-0.288348850569756,1.09071849110134,1.09071849110134,1,,1959-09-01,3.76
,Q4,12,31,12/31/15,57731.072486672,46032.6969222503,0.797364312483153,-0.22644359988573,1.16037345343066,1.16037345343066,1,,1959-10-01,3.98
1916,Q1,3,31,3/31/16,61999.5681244564,44493.4268830878,0.717640916365301,-0.33178595151674,1.04435507760895,1.04435507760895,1,,1959-11-01,4.00
,Q2,6,30,6/30/16,66268.0637622409,45415.3190431518,0.68532738795711,-0.377858616272679,0.99733044913671,0.99733044913671,1,,1959-12-01,3.99
,Q3,9,30,9/30/16,70536.5594000254,46967.9795232596,0.665867174735527,-0.406665065666061,0.969010753275099,0.9690107532751,1,,1960-01-01,3.99
,Q4,12,31,12/31/16,74805.0550378099,47550.2272033,0.635655266602851,-0.453098896238671,0.925044531529523,0.925044531529524,1,,1960-02-01,3.97
1917,Q1,3,31,3/31/17,81198.9929516197,45411.9871797699,0.559267861940449,-0.581126740024132,0.813880895084997,0.813880895084997,1,,1960-03-01,3.84
